date,key_fingerprint,domain_count
2026-04-06,AEH+DQA9kwAgACCxgr6gm71K7y7c5z5b+9o6Y6GTfP2Nxg8xu9EWvU6cSQAEAAEAAQAOcG93aGl0ZWxpc3QucnUAAA==,1
2026-04-06,AEP+DQA/hAAgACDXU+RNrdoLdDK+eh0PVKpE1XiqTaJ2YkuFOEKvmgrkHAAEAAEAAQAQc3BhY2VzLWdhbWVzLmNvbQAA,1
2026-04-06,AEP+DQA/mwAgACDiOWwV+YK/UCGldFBQMn77+oc0O+dmQcWXZ1fXXbfFXwAEAAEAAQAQd29ybGQ3OS5zcGNzLmJpbwAA,4
2026-04-06,AEP+DQA/ZAAgACAQl6+JD0EgImfsNsax1z7DChp28XMuJPw5+LPfIbvcAwAEAAEAAQAQdXN1YXJpb3Bvcm5vLmNvbQAA,2
2026-04-06,AET+DQBAAAAgACAzU2vbUV78DH7m+tnD8A5fuEDTZ0wOSr6Gh/3CFUbUNgAIAAEAAQABAAMADWNvdmVyLmhha2Euc2UAAA==,1
2026-04-06,AEX+DQBB3QAgACDYD7xeNwMiXqMDTjjoUx7LVNlWWq2qrTPaVpVoYivlAAAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,175160
2026-04-06,AEX+DQBBmgAgACDlUXHlgaYafsNNk3n9Z6xazbTOe9bKJlSAQotHB8ypNwAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,18312
2026-04-06,ANb+DQBGcgAgACCezUyhqnu8aDWZ6BJLQhBoHfemBs2+ZuYrBk2Dj7PPGwAMAAEAAQABAAIAAQADHw9lY2guZXhhbXBsZS5uZXQAAP4NAESwACAAIIV4soz0W05R/h8h23SMHLei4L8Ij1GAmba2uJOGwPdeAAwAAQABAAEAAgABAAMdDWVjaC5oaWRlZC5uZXQAAP4NAEBsACAAILU5qfWEFfLqKjb3XVEC/ufXw5VSgag9Al1frRW+X7IwAAwAAQABAAEAAgABAAMZCWhpZGVkLm5ldAAA,1
2026-04-07,AD3+DQA5qgAgACCkp7s0t3xDM2w6KTHdKMh9AIIYqZtE8fCqioJTfUh9QwAEAAEAAQAKZ29vZ2xlLmNvbQAA,2
2026-04-07,AD3+DQA5ywAgACBCgZT1k9K2RKBuoQ7tWHdiNpMJkZhyxfKB+8wWNNGlMQAEAAEAAgAKY3liZXIuY2FmZQAA,1
2026-04-07,AD7+DQA6JAAgACBSoBLuzZ4cW58Gw4tFHcGfcA8wSPRMdDDeEteTesfVXAAEAAEAAQALcG9ybmh1Yi5jb20AAA==,2
2026-04-07,ADv+DQA34QAgACAfp+tRRhRQ2FS2Dh+3eBu9XYkjisyKJ7gMca5FelPZQAAEAAEAAQAIZS52d3Auc3UAAA==,1
2026-04-07,ADv+DQA3EQAgACArAsqpyIpCm7MtLKNsudSj8DUWb4VCz10MnExCcYn8FQAEAAEAAQAIaWV0Zi5vcmcAAA==,2
2026-04-07,AEH+DQA9JgAgACAY6/yqCQKAjZBHvzwzF/ZnadygxgJjpMYJDhsCG8b3HAAEAAEAAQAOcG93aGl0ZWxpc3QucnUAAA==,2
2026-04-07,AEH+DQA9kwAgACCxgr6gm71K7y7c5z5b+9o6Y6GTfP2Nxg8xu9EWvU6cSQAEAAEAAQAOcG93aGl0ZWxpc3QucnUAAA==,1
2026-04-07,AEP+DQA/hAAgACDXU+RNrdoLdDK+eh0PVKpE1XiqTaJ2YkuFOEKvmgrkHAAEAAEAAQAQc3BhY2VzLWdhbWVzLmNvbQAA,1
2026-04-07,AEP+DQA/mwAgACDiOWwV+YK/UCGldFBQMn77+oc0O+dmQcWXZ1fXXbfFXwAEAAEAAQAQd29ybGQ3OS5zcGNzLmJpbwAA,4
2026-04-07,AEP+DQA/ZAAgACAQl6+JD0EgImfsNsax1z7DChp28XMuJPw5+LPfIbvcAwAEAAEAAQAQdXN1YXJpb3Bvcm5vLmNvbQAA,2
2026-04-07,AET+DQBAAAAgACAQZfUvx8fWqh9i846s6MgECyE17Mkyfa+yGYv99FLTSAAIAAEAAQABAAMADWNvdmVyLmhha2Euc2UAAA==,1
